ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64, Sum.f64, SumSQ.f64, Min.f64, Max.f64
rtr_0_0, recv_flit_cnt, 0_0_0_0, Accumulator, 501000000, 0, 52776, 211104, 13194, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_0_0_0, Accumulator, 501000000, 0, 53068, 212272, 13267, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_0_0_0, Accumulator, 501000000, 0, 13267, 13267, 13267, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_0_0_1, Accumulator, 501000000, 0, 53148, 212592, 13287, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_0_0_1, Accumulator, 501000000, 0, 52204, 208816, 13051, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_0_0_1, Accumulator, 501000000, 0, 13051, 13051, 13051, 1, 1, 0, 0, 0, 0
rtr_0_0, output_stalls, , Accumulator, 501000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_1_0_0, Accumulator, 501000000, 0, 52824, 211296, 13206, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_1_0_0, Accumulator, 501000000, 0, 53220, 212880, 13305, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_1_0_0, Accumulator, 501000000, 0, 13305, 13305, 13305, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_1_0_1, Accumulator, 501000000, 0, 53044, 212176, 13261, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_1_0_1, Accumulator, 501000000, 0, 53312, 213248, 13328, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_1_0_1, Accumulator, 501000000, 0, 13328, 13328, 13328, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_2_0_0, Accumulator, 501000000, 0, 53336, 213344, 13334, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_2_0_0, Accumulator, 501000000, 0, 52612, 210448, 13153, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_2_0_0, Accumulator, 501000000, 0, 13153, 13153, 13153, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_2_0_1, Accumulator, 501000000, 0, 53500, 214000, 13375, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_2_0_1, Accumulator, 501000000, 0, 52916, 211664, 13229, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_2_0_1, Accumulator, 501000000, 0, 13229, 13229, 13229, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_3_0_0, Accumulator, 501000000, 0, 53172, 212688, 13293, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_3_0_0, Accumulator, 501000000, 0, 52956, 211824, 13239, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_3_0_0, Accumulator, 501000000, 0, 13239, 13239, 13239, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_3_0_1, Accumulator, 501000000, 0, 52984, 211936, 13246, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_3_0_1, Accumulator, 501000000, 0, 52968, 211872, 13242, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_packet_cnt, 0_3_0_1, Accumulator, 501000000, 0, 13242, 13242, 13242, 1, 1, 0, 0, 0, 0
rtr_0_0, recv_flit_cnt, 0_4_0_0, Accumulator, 501000000, 0, 282764, 1131056, 70691, 4, 4, 0, 0, 0, 0
rtr_0_0, sent_flit_cnt, 0_4_0_0, Accumulator, 501000000, 0, 284264, 1137056, 71066, 4, 4, 0, 0, 0, 0
