stats.LF10.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.872554, 356.173285, 18.872554, 18.872554
stats.LF10.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.304299, 299.438761, 17.304299, 17.304299
stats.LF10.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.931891, 358.416495, 18.931891, 18.931891
stats.LF10.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.300995, 299.324443, 17.300995, 17.300995
stats.LF10.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 15.901204, 252.848284, 15.901204, 15.901204
stats.LF10.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.168022, 294.740976, 17.168022, 17.168022
stats.LF10.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.837844, 354.864379, 18.837844, 18.837844
stats.LF10.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.341733, 300.735700, 17.341733, 17.341733
stats.LF10.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.897846, 357.128569, 18.897846, 18.897846
stats.LF15.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.849886, 355.318211, 18.849886, 18.849886
stats.LF15.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.312220, 299.712964, 17.312220, 17.312220
stats.LF15.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.943255, 358.846907, 18.943255, 18.943255
stats.LF15.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.289279, 298.919181, 17.289279, 17.289279
stats.LF15.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 15.909237, 253.103815, 15.909237, 15.909237
stats.LF15.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.189320, 295.472735, 17.189320, 17.189320
stats.LF15.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.845317, 355.145967, 18.845317, 18.845317
stats.LF15.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.330960, 300.362191, 17.330960, 17.330960
stats.LF15.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.817644, 354.103735, 18.817644, 18.817644
stats.LF20.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.807297, 353.714438, 18.807297, 18.807297
stats.LF20.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.326895, 300.221277, 17.326895, 17.326895
